2026-09-15 10:22:12,152 INFO    MainThread:37698 [wandb_setup.py:_flush():81] Current SDK version is 0.29.0
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_setup.py:_flush():81] Configure stats pid to 37698
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_init.py:setup_run_log_directory():739] Logging user logs to /Users/pankaj-admin/Documents/workspace/personal/ai-engineer-roadmap/weeks/week-05-ragas-evaluation-metrics/project/wandb/offline-run-20260915_102212-8vtryae2/logs/debug.log
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_init.py:setup_run_log_directory():740] Logging internal logs to /Users/pankaj-admin/Documents/workspace/personal/ai-engineer-roadmap/weeks/week-05-ragas-evaluation-metrics/project/wandb/offline-run-20260915_102212-8vtryae2/logs/debug-internal.log
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_init.py:init():783] calling init triggers
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_init.py:init():788] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-09-15 10:22:12,153 INFO    MainThread:37698 [wandb_init.py:init():831] starting backend
2026-09-15 10:22:12,386 INFO    MainThread:37698 [wandb_init.py:init():846] sending inform_init request
2026-09-15 10:22:12,521 INFO    MainThread:37698 [wandb_init.py:init():851] backend started and connected
2026-09-15 10:22:12,523 INFO    MainThread:37698 [wandb_init.py:init():921] updated telemetry
2026-09-15 10:22:12,554 INFO    MainThread:37698 [wandb_init.py:init():944] communicating run to backend with 90.0 second timeout
2026-09-15 10:22:12,558 INFO    MainThread:37698 [wandb_init.py:init():981] starting run threads in backend
2026-09-15 10:22:12,662 INFO    MainThread:37698 [wandb_run.py:_console_start():2545] atexit reg
2026-09-15 10:22:12,662 INFO    MainThread:37698 [wandb_run.py:_redirect():2395] redirect: wrap_raw
2026-09-15 10:22:12,662 INFO    MainThread:37698 [wandb_run.py:_redirect():2464] Wrapping output streams.
2026-09-15 10:22:12,662 INFO    MainThread:37698 [wandb_run.py:_redirect():2487] Redirects installed.
2026-09-15 10:22:12,664 INFO    MainThread:37698 [wandb_init.py:init():1019] run started, returning control to user process
2026-09-15 10:22:12,664 INFO    MainThread:37698 [wandb_run.py:_finish():2316] finishing run week5-ragas-evaluation/8vtryae2
2026-09-15 10:22:12,664 INFO    MainThread:37698 [wandb_run.py:_atexit_cleanup():2512] got exitcode: 0
2026-09-15 10:22:12,665 INFO    MainThread:37698 [wandb_run.py:_restore():2494] restore
2026-09-15 10:22:12,665 INFO    MainThread:37698 [wandb_run.py:_restore():2500] restore done
